name,id,time,lon,lat,alt,Temp.max,Temp.min,Hum.max,Hum.min,Pres.max,Pres.min,Vient.max,Precip.diaria,Temp.act,Hum.act,Vient.dir,Vient.act,Precip.total,source
Palamós (Girona),ESCAT1700000017230E,2026-09-09,3.13,41.84,17.0,25.1,23.9,77.0,62.0,1011.3,1009.4,21.0,0.0,24.2,62.0,1.0,11.0,0.0,xml_feed
Llagostera - Panedes (Girona),ESCAT1700000017240C,2026-09-09,2.92,41.84,140.0,22.2,17.8,96.0,71.0,1012.3,1010.5,14.0,0.0,22.2,71.0,0.0,12.0,0.0,xml_feed
Cadiretes - Selva Brava (Girona),ESCAT1700000017240D,2026-09-09,2.92,41.77,200.0,22.5,20.3,92.0,70.0,,,9.0,0.0,21.5,75.0,225.0,1.0,0.0,xml_feed
Llagostera (Girona),ESCAT1700000017240F,2026-09-09,2.9,41.83,131.0,25.5,22.2,85.0,71.0,1013.5,1010.9,13.0,0.0,22.3,71.0,335.0,6.0,0.0,xml_feed
Llagostera - Municipal (Girona),ESCAT1700000017240G,2026-09-09,2.88,41.83,120.0,24.6,19.1,89.0,80.0,1014.2,1011.5,10.0,0.0,20.2,82.0,169.0,0.0,0.0,xml_feed
Llagostera - Cadiretes (Girona),ESCAT1700000017240H,2026-09-09,2.93,41.76,505.0,23.0,19.9,86.0,67.0,1014.2,1012.1,28.0,0.0,19.9,72.0,0.0,18.0,0.0,xml_feed
Platja d'Aro - ISCB (Girona),ESCAT1700000017250A,2026-09-09,3.06,41.82,65.0,24.7,23.1,75.0,56.0,1013.3,1010.9,32.0,0.0,23.8,56.0,323.0,10.0,0.0,xml_feed
Calonge - Vall des Molins (Girona),ESCAT1700000017251A,2026-09-09,3.02,41.85,,35.5,18.5,99.0,36.0,1018.3,1009.7,,,22.7,69.0,,,,xml_feed
Calonge (Girona),ESCAT1700000017251B,2026-09-09,3.08,41.86,16.0,24.7,23.9,75.0,62.0,1011.4,1009.2,26.0,0.0,24.3,63.0,0.0,6.0,0.0,xml_feed
Calonge i Sant Antoni (Girona),ESCAT1700000017252A,2026-09-09,3.1,41.87,33.0,24.2,22.8,81.0,68.0,1015.7,1013.5,20.0,0.0,23.7,68.0,22.0,6.0,0.0,xml_feed
L'Estartit - Roca Maura (Girona),ESCAT1700000017258C,2026-09-09,3.19,42.06,221.0,23.9,21.6,80.0,71.0,1011.3,1009.7,23.0,0.0,22.0,72.0,339.0,18.0,0.0,xml_feed
Lloret de Mar-Fenals (Girona),ESCAT1700000017310B,2026-09-09,2.82,41.7,20.0,27.6,22.0,87.0,72.0,1011.0,1008.1,19.0,0.0,23.2,74.0,309.0,7.0,0.0,xml_feed
Breda (Girona),ESCAT1700000017400A,2026-09-09,2.56,41.75,165.0,24.7,22.4,79.0,72.0,1013.4,1011.9,,0.0,22.9,77.0,,,0.0,xml_feed
El Colls 1 (Girona),ESCAT1700000017401B,2026-09-09,2.47,41.81,,20.8,19.3,85.0,75.0,1014.5,1012.9,2.0,,19.5,85.0,283.0,0.0,,xml_feed
Espinelves (Girona),ESCAT1700000017405A,2026-09-09,2.42,41.87,750.0,20.7,17.7,86.0,79.0,1008.0,1006.0,8.0,0.0,17.8,86.0,321.0,0.0,0.0,xml_feed
Sils - MYC5 (Girona),ESCAT1700000017410B,2026-09-09,2.77,41.8,88.0,23.7,21.3,90.0,81.0,1013.6,1011.5,4.0,0.0,22.0,81.0,337.0,0.0,0.0,xml_feed
Vidreres - Can MassaSuria (Girona),ESCAT1700000017411C,2026-09-09,2.8,41.78,,22.2,19.3,95.0,87.0,1012.3,1010.3,9.0,0.0,20.4,89.0,180.0,0.0,0.0,xml_feed
Riudarenes-Cultius Brugat (Girona),ESCAT1700000017421A,2026-09-09,2.71,41.84,96.0,22.7,20.8,95.0,86.0,1009.3,1007.4,4.0,0.0,21.3,88.0,0.0,0.0,0.0,xml_feed
Grions - Can Puigmari (Girona),ESCAT1700000017451A,2026-09-09,2.61,41.76,143.0,24.3,21.4,83.0,75.0,1011.7,1009.8,7.0,0.0,22.0,83.0,22.0,0.0,0.0,xml_feed
Riells - Cultius Ponç (Girona),ESCAT1700000017451B,2026-09-09,2.57,41.73,80.0,23.9,21.6,87.0,80.0,,,7.0,0.0,22.0,86.0,270.0,0.0,0.0,xml_feed
Grions (Girona),ESCAT1700000017451C,2026-09-09,2.62,41.76,83.0,25.9,21.0,88.0,75.0,1013.3,1010.4,,0.0,21.7,86.0,,,0.0,xml_feed
Massanes - Barri Marques (Girona),ESCAT1700000017452A,2026-09-09,2.65,41.75,58.0,23.7,20.0,99.0,82.0,1011.8,1010.0,7.0,0.0,20.0,99.0,90.0,0.0,0.0,xml_feed
Caldes - Can Carbonell (Girona),ESCAT1700000017455A,2026-09-09,2.85,41.8,165.0,24.4,19.7,86.0,80.0,1013.4,1010.5,8.0,0.0,20.0,82.0,138.0,2.0,0.0,xml_feed
Caldes - Can Gimferrer (Girona),ESCAT1700000017455B,2026-09-09,2.77,41.83,100.0,25.2,20.4,88.0,77.0,1014.1,1011.3,0.0,0.0,20.7,86.0,67.0,0.0,0.0,xml_feed
Caldes - Mas Carbonell (Girona),ESCAT1700000017455C,2026-09-09,2.86,41.79,175.0,21.6,19.6,93.0,85.0,1012.1,1010.3,5.0,0.0,20.6,85.0,202.0,3.0,0.0,xml_feed
