id,bolets_id,name,lon,lat,elev,n_days,coverage,miss_precip,source_mode,xema_style_id,xema_style_lon,xema_style_lat,xema_style_elev,xema_style_flag
ESCAT1700000017162A,MC_ESCAT1700000017162A,Bescanó (Girona),2.74,41.96,100,1,1,0,smoke,MC_ESCAT1700000017162A,2.74,41.96,100,1
ESCAT1700000017162C,MC_ESCAT1700000017162C,Montfullà (Girona),2.76,41.96,180,1,1,0,smoke,MC_ESCAT1700000017162C,2.76,41.96,180,1
ESCAT1700000017166E,MC_ESCAT1700000017166E,El Pasteral  (Girona),2.61,41.99,172,1,1,0,smoke,MC_ESCAT1700000017166E,2.61,41.99,172,1
ESCAT1700000017174A,MC_ESCAT1700000017174A,Sant Feliu de Pallerols (Girona),2.51,42.08,488,1,1,0,smoke,MC_ESCAT1700000017174A,2.51,42.08,488,1
ESCAT1700000017178B,MC_ESCAT1700000017178B,La Vall d'en Bas - Mallol (Girona),2.44,42.15,462,1,1,0,smoke,MC_ESCAT1700000017178B,2.44,42.15,462,1
ESCAT1700000017180A,MC_ESCAT1700000017180A,Vilablareix (Girona),2.79,41.95,107,1,1,0,smoke,MC_ESCAT1700000017180A,2.79,41.95,107,1
ESCAT1700000017190B,MC_ESCAT1700000017190B,Vilablareix - Centre (Girona),2.81,41.95,100,1,1,0,smoke,MC_ESCAT1700000017190B,2.81,41.95,100,1
ESCAT1700000017199A,MC_ESCAT1700000017199A,Canet d'Adri - Centre (Girona),2.74,42.03,225,1,1,0,smoke,MC_ESCAT1700000017199A,2.74,42.03,225,1
ESCAT1700000017199D,MC_ESCAT1700000017199D,Canet d'Adri- Can Vicens (Girona),2.75,42.04,190,1,1,0,smoke,MC_ESCAT1700000017199D,2.75,42.04,190,1
ESCAT1700000017200C,MC_ESCAT1700000017200C,Palafrugell (Girona),3.16,41.91,45,1,1,0,smoke,MC_ESCAT1700000017200C,3.16,41.91,45,1
ESCAT1700000017200H,MC_ESCAT1700000017200H,Palafrugell Joan Capri 93 (Girona),3.15,41.93,75,1,1,0,smoke,MC_ESCAT1700000017200H,3.15,41.93,75,1
